2022-03-21/09:02:05		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:15		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:15		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:15		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:15		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:15		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:15		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:15		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:15		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:15		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:15		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:15		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:16		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:16		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:16		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:16		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:16		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:16		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:16		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:16		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:16		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:16		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:16		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:16		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:16		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:17		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:17		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:17		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:17		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:17		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:17		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:17		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:17		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:17		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:17		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:17		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:17		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:17		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:17		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:17		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:17		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:18		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:18		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:18		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:18		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:18		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:18		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:18		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:18		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:18		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:18		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:18		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:18		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:18		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:18		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:18		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:19		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:19		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:19		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:19		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:19		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:19		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:19		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:19		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:19		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:19		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:19		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:19		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:19		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:20		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:20		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:20		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:20		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:20		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:20		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:20		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:20		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:20		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:20		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:20		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:20		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:20		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:20		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:21		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:21		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:21		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:21		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:21		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:21		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:21		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:21		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:21		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:21		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:21		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:21		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:21		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:21		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:22		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:22		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:22		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:22		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:22		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:22		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:22		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:22		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:22		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:22		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:22		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:22		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:22		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:23		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:23		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:23		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:23		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:23		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:23		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:23		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:23		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:23		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:23		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:23		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:23		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:23		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:24		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:24		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:24		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:24		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:24		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:24		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:24		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:24		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:24		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:24		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:24		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:24		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:24		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:25		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:25		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:25		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:25		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:25		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:25		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:25		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:25		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:25		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:25		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:25		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:25		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:26		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:26		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:26		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:26		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:26		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:26		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:26		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:26		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:26		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:26		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:26		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:26		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:26		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:27		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:27		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:27		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:27		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:27		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:27		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:27		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:27		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:27		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:27		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:27		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:27		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:28		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:28		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:28		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:28		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:28		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:28		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:28		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:28		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:28		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:28		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:28		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:28		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:28		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:29		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:29		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:29		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:29		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:29		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:29		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:29		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:29		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:29		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:29		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:29		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:30		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:30		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:30		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:30		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:30		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:30		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:30		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:30		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:30		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:30		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:30		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:30		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:31		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:31		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:31		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:31		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:31		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:31		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:31		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:31		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:31		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:32		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:32		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:32		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:32		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:32		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:32		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:32		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:32		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:32		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:33		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:33		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:33		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:33		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:33		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:33		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:33		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:33		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:33		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:34		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:34		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:34		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:34		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:34		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:35		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:35		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:35		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:35		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:35		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:35		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:36		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:36		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:36		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:36		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:36		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:37		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:37		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:37		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:37		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:37		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:38		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:38		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:38		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:38		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:38		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:39		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:39		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:39		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:39		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:40		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:40		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:41		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:41		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:41		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:41		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:41		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:42		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:42		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:42		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:42		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:42		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:43		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:43		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:43		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:43		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:44		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:44		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:44		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:45		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:45		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:45		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:45		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:45		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:46		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:46		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:46		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:46		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:46		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:47		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:47		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:47		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:47		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:47		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:47		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:48		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:48		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:48		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:48		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:48		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:48		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:48		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:48		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:48		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:48		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:48		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:48		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:49		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:49		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:49		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:49		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:49		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:49		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:49		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:49		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:49		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:49		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:49		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:49		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:50		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:50		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:50		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:50		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:50		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:50		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:50		 insurance_021119920_010222.csv: File loaded successfully!!
